phenotype_name,accession_id,accession_name,accession_cs_number,accession_longitude,accession_latitude,accession_country,phenotype_value,obs_unit_id
noLRpMR0,7337,Si-0,CS76601,8.02341,50.8738,GER,11.25,20973
noLRpMR0,7343,Sp-0,CS76603,13.181,52.5339,GER,9.25,20974
noLRpMR0,7346,Sten-0,CS77277,11.8558,52.6058,GER,7.25,20975
noLRpMR0,7353,Tha-1,CS76611,4.3,52.08,NED,10.5,20976
noLRpMR0,7354,Ting-1,CS76612,14.9,56.5,Sweden,8.0,20977
noLRpMR0,7355,Tiv-1,,12.8,41.96,Italy,9.0,20978
noLRpMR0,7372,Tscha-1,CS76616,9.9042,47.0748,Austria,9.5,20979
noLRpMR0,7373,Tsu-0,CS77389,136.31,34.43,Japan,6.5,20980
noLRpMR0,7351,Ty-0,,-5.23439,56.4278,UK,5.5,20981
noLRpMR0,7378,Uk-1,CS76620,7.7667,48.0333,GER,9.0,20982
noLRpMR0,7379,Uk-2,,7.7667,48.0333,GER,5.0,20983
noLRpMR0,7382,Utrecht,CS76622,5.1145,52.0918,NED,11.75,20984
noLRpMR0,7384,Ven-1,CS76624,5.55,52.0333,NED,9.25,20985
noLRpMR0,7394,Wa-1,CS76626,21.0,52.3,Poland,7.25,20986
noLRpMR0,7390,Wag-3,,5.6666,51.9666,NED,7.5,20987
noLRpMR0,7391,Wag-4,,5.6666,51.9666,NED,6.0,20988
noLRpMR0,7392,Wag-5,,5.6666,51.9666,NED,8.0,20989
noLRpMR0,7477,WAR,CS78853,-71.2825,41.7302,US,0.25,20990
noLRpMR0,7405,Wc-2,,10.0667,52.6,GER,7.0,20991
noLRpMR0,7411,Wl-0,CS76630,10.8134,47.9299,GER,8.0,20992
noLRpMR0,7397,Ws,,30.0,52.3,Russia,9.0,20993
noLRpMR0,7408,Wt-3,,9.3,52.3,GER,8.25,20994
noLRpMR0,7418,Zu-1,CS78881,8.55,47.3667,SUI,8.75,20995
noLRpMR0,7283,Ors-1,,22.3955,44.7203,Romania,4.75,20996
noLRpMR0,7284,Ors-2,,22.3955,44.7203,Romania,6.0,20997
noLRpMR0,8610,11ME1.32,,-86.359,42.093,US,5.25,20998
noLRpMR0,8796,11PNA4.101,,-86.3253,42.0945,US,7.75,20999
noLRpMR0,8692,328PNA054,,-86.3253,42.0945,US,0.75,21000
noLRpMR0,6897,Ag-0,CS76430,1.3,45.0,France,5.25,21001
noLRpMR0,6988,Alc-0,,-3.36,40.49,Spain,5.25,21002
noLRpMR0,1,ALL1-2,,1.48333,45.2667,France,3.0,21003
noLRpMR0,2,ALL1-3,,1.48333,45.2667,France,2.75,21004
noLRpMR0,6898,An-1,CS76435,4.4,51.2167,Belgium,10.5,21005
noLRpMR0,5832,App1-16,CS76669,15.9667,56.3333,Sweden,5.75,21006
noLRpMR0,8256,Bå1-2,CS76676,12.9,56.4,Sweden,12.75,21007
noLRpMR0,6899,Bay-0,,11.0,49.0,GER,7.25,21008
noLRpMR0,957,Belmonte-4-94,,12.4833,42.1167,Italy,4.25,21009
noLRpMR0,6709,Bg-2,,-122.305,47.6479,US,2.75,21010
noLRpMR0,7015,Bla-1,,2.8,41.6833,Spain,7.25,21011
noLRpMR0,7034,Blh-1,,19.85,48.3,Czech Republic,12.5,21012
noLRpMR0,5837,Bor-1,CS76453,16.2326,49.4013,Czech Republic,9.5,21013
noLRpMR0,6903,Bor-4,CS76454,16.2326,49.4013,Czech Republic,8.0,21014
noLRpMR0,6904,Br-0,CS76455,16.6166,49.2,Czech Republic,5.75,21015
noLRpMR0,8231,Brö1-6,CS76726,16.0,56.3,Sweden,11.5,21016
noLRpMR0,8271,Bu-0,,9.5,50.5,GER,4.75,21017
noLRpMR0,5719,Bur-0,,-6.2,54.1,Ireland,11.5,21018
noLRpMR0,6906,C24,,-8.42639,40.2077,POR,5.0,21019
noLRpMR0,23,CAM-16,,-4.58333,48.2667,France,8.5,21020
noLRpMR0,66,CAM-61,,-4.58333,48.2667,France,8.25,21021
noLRpMR0,8274,Can-0,,-13.4811,29.2144,Spain,7.25,21022
noLRpMR0,8275,Cen-0,,0.5,49.0,France,4.5,21023
noLRpMR0,6909,Col-0,CS76778,-92.3,38.3,US,14.5,21024
noLRpMR0,6910,Ct-1,,15.0,37.3,Italy,9.75,21025
noLRpMR0,81,CUR-3,,1.75,45.0,France,4.0,21026
noLRpMR0,6911,Cvi-0,CS76789,-23.6167,15.1111,Cape Verde,8.25,21027
noLRpMR0,5896,DraIV 1-14,,16.2815,49.4112,Czech Republic,10.75,21028
noLRpMR0,5987,DraIV 6-16,,16.2815,49.4112,Czech Republic,9.0,21029
noLRpMR0,6008,Duk,CS76824,16.2,49.1,Czech Republic,11.5,21030
noLRpMR0,6913,Eden-2,CS76827,18.177,62.877,Sweden,6.0,21031
noLRpMR0,6914,Edi-0,,-3.16028,55.9494,UK,5.25,21032
noLRpMR0,6916,Est-1,,25.3,58.3,Russia,15.0,21033
noLRpMR0,8215,Fei-0,,-8.32,40.5,POR,10.0,21034
noLRpMR0,6019,Fjä1-2,CS76860,14.29,56.06,Sweden,11.25,21035
noLRpMR0,6020,Fjä1-5,CS76861,14.29,56.06,Sweden,10.5,21036
noLRpMR0,6919,Ga-0,CS76490,8.0,50.3,GER,9.5,21037
noLRpMR0,8296,Gd-1,,10.5,53.5,GER,11.0,21038
noLRpMR0,8297,Ge-0,CS76875,6.08,46.5,SUI,10.5,21039
noLRpMR0,6921,Got-7,,9.9355,51.5338,GER,10.25,21040
noLRpMR0,8300,Gr-1,,15.5,47.0,Austria,5.25,21041
noLRpMR0,8214,Gy-0,CS78901,2.0,49.0,France,6.25,21042
noLRpMR0,8304,Hi-0,,5.0,52.0,NED,10.5,21043
noLRpMR0,8235,Hod,CS76924,17.1,48.8,Czech Republic,2.5,21044
noLRpMR0,8306,Hov4-1,CS76936,13.74,56.1,Sweden,9.75,21045
noLRpMR0,6039,Hovdala-2,CS76937,13.74,56.1,Sweden,9.0,21046
noLRpMR0,6924,HR-5,CS76514,-0.6383,51.4083,UK,4.75,21047
noLRpMR0,8310,Hs-0,,9.44,52.24,GER,7.5,21048
noLRpMR0,8236,HSm,CS76941,15.76,49.33,Czech Republic,7.5,21049
noLRpMR0,8311,In-0,CS78903,11.5,47.5,Austria,7.25,21050
noLRpMR0,91,JEA,,7.33333,43.6833,France,10.0,21051
noLRpMR0,8314,Ka-0,,14.0,47.0,Austria,12.25,21052
noLRpMR0,8424,Kas-2,CS78905,77.0,35.0,India,12.0,21053
noLRpMR0,1716,KBS-Mac-8,,-85.398,42.405,US,2.0,21054
noLRpMR0,8420,Kelsterbach-4,CS76525,8.5333,50.0667,GER,11.5,21055
noLRpMR0,6926,Kin-0,CS76527,-85.37,44.46,US,12.0,21056
noLRpMR0,6928,KNO-18,,-86.621,41.2816,US,10.25,21057
noLRpMR0,8239,PHW-3,CS76976,7.0,51.0,GER,6.75,21058
noLRpMR0,8240,Kulturen-1,CS76987,13.196,55.705,Sweden,8.75,21059
noLRpMR0,94,LAC-3,,6.81667,47.7,France,9.25,21060
